commentary_id,form,table_occurrences,left_insecure_occurrences,right_insecure_occurrences,any_insecure_occurrences,source_files,evidence
IOZa13,MA-I,1,1,1,1,IOZa13.html,OD.-OL. 1985). ][•]-MA-I-[ COMMENTARY © JOHN
IOZa14,I-DI,1,0,1,1,IOZa14.html, 1987). SI-]RU-TE • I-DI-[ COMMENTARY © JOHN
IOZa14,RU-TE,1,1,0,1,IOZa14.html,43; KAR. 1987). SI-]RU-TE • I-DI-[ COMMENTARY
IOZa15,I-PI-NA-MA,1,1,0,1,IOZa15.html, 4744; KAR. 1987). ]I-PI-NA-MA • SI-RU-[TE COMMENT
IOZa15,SI-RU,1,0,1,1,IOZa15.html,987). ]I-PI-NA-MA • SI-RU-[TE COMMENTARY © JO
IOZa16,U-NA-RU-KA,2,0,2,2,IOZa16.html,A-SA-SA-RA-.B:-ME • U-NA-RU-KA[-NA-SI .A-.B: ] ARO ||  • JA-SA-SA-RA-ME • U-NA-RU-KA[-NA-SI KAMILARI COM
IOZa2,I-PI-NA-MA,1,1,0,1,IOZa2.html, U-NA-KA-NA-]SI [•] I-PI-NA-MA • .2: SI-RU-TE • TA
IOZa2,JA-SA-SA-RA,1,0,1,1,IOZa2.html,-JA • JA-DI-KI-TU • JA-SA-SA-RA[-ME • U-NA-KA-NA-]S
IOZa4,*301-WA,2,2,2,2,IOZa4.html," TABLE, SERPENTINE ]*301-WA [ A-TA-I-]*301-WA [ ||  ]*301-WA [ A-TA-I-]*301-WA [-JA. COMMENTARY © "
IOZa5,I-JA-PA,1,0,1,1,IOZa5.html,TE ]I-JA-RE-DI-JA • I-JA-PA[ COMMENTARY © JOHN 
IOZa5,I-JA-RE-DI-JA,1,1,0,1,IOZa5.html,"RAGEMNT, CHRLORITE ]I-JA-RE-DI-JA • I-JA-PA[ COMMENTA"
IOZa7,JA-TI-*321,1,0,1,1,IOZa7.html,A-TA-I-*301-WA-JA • JA-TI-*321 [ • OVER [[ ]]. COM
IOZa8,A-NA-TI-*301-WA-JA,1,1,1,1,IOZa8.html,III-LM I CONTEXT) ] A-NA-TI-*301-WA-JA [ COMMENTARY © JOHN
IOZa9,JA-SA-SA,1,0,1,1,IOZa9.html,R. .A (RETROGRADE): JA-SA-SA[-RA-ME .B: • U-NA-K
IOZa9,U-NA-KA,1,0,1,1,IOZa9.html,-SA-SA[-RA-ME .B: • U-NA-KA[-NA-SI COMMENTARY ©
IOZb10,A-SA-SA-RA-ME,2,1,0,1,IOZb10.html, III-LM I CONTEXT) ]A-SA-SA-RA-ME ON ANALOGY WITH PO 
KE1,KA-SA,1,0,1,1,KE1.html, NUMBER FRACTION .1 KA-SA [ .2 ] VEST. [ INFR
