stem,depth,terminal,form,occurrences,site_count,sites,scribe_count,scribes,supports,warning_classes,manual_tier,manual_adjudication,containment_count,containment_examples
TA-NA-I,2,*301-TI,TA-NA-I-*301-TI,1,1,PSYKHRO,1,PS SCRIBE 1,STONE VESSEL,,,,0,
TA-NA-I-*301-U,2,TI-NU,TA-NA-I-*301-U-TI-NU,1,1,IOUKTAS,0,,STONE VESSEL,,,,0,
TA-NA-RA-TE-U,2,TI-NU,TA-NA-RA-TE-U-TI-NU,1,1,IOUKTAS,0,,STONE VESSEL,,,,0,
TA-NA-SU,2,TE-KE,TA-NA-SU-TE-KE,1,1,PRASSA,0,,STONE VESSEL,,,,0,
TA-NU-NI,2,KI-NA,TA-NU-NI-KI-NA,1,1,PLATANOS,0,,METAL OBJECT,,,,0,
TA-TE-I-KE,2,ZA-RE,TA-TE-I-KE-ZA-RE,1,1,KNOSSOS,0,,METAL OBJECT,,,,0,
TE-ME,2,DA-I,TE-ME-DA-I,1,1,THERA,0,,TABLET,,,,0,
TE-SU-DE-SE,2,KE-I,TE-SU-DE-SE-KE-I,1,1,KNOSSOS,0,,METAL OBJECT,,,,0,
TI-DI-TE,2,QA-TI,TI-DI-TE-QA-TI,1,1,KNOSSOS,0,,METAL OBJECT,,,,0,
TI-MA-RU,2,WI-TE,TI-MA-RU-WI-TE,1,1,PYRGOS,0,,TABLET,,,,0,
TU-*21F,2,RI-NA,TU-*21F-RI-NA,1,1,HAGHIA TRIADA,1,HT SCRIBE 15,TABLET,,,,0,
TU-MI-TI,2,ZA-SE,TU-MI-TI-ZA-SE,1,1,ZAKROS,0,,TABLET,,,,0,
TU-PA,2,DI-DA,TU-PA-DI-DA,1,1,HAGHIA TRIADA,1,HT SCRIBE 6,TABLET,,,,0,
TU-RU-NU,2,SE-ME,TU-RU-NU-SE-ME,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,0,
U-KA-RE-A-SE,2,SI-NA,U-KA-RE-A-SE-SI-NA,1,1,PETRAS,0,,TABLET,,,,0,
U-MI,2,NA-SI,U-MI-NA-SI,2,1,HAGHIA TRIADA,2,HT SCRIBE 13|HT SCRIBE 9,TABLET,,,,0,
U-NA-KA,2,NA-SI,U-NA-KA-NA-SI,4,3,IOUKTAS|KOPHINAS|PALAIKASTRO,0,,STONE VESSEL,,,,1,JA-SA-U-NA-KA-NA-SI
U-NA-RU-KA,2,JA-SI,U-NA-RU-KA-JA-SI,1,1,PALAIKASTRO,0,,STONE VESSEL,,,,0,
U-NA-RU-KA,2,NA-SI,U-NA-RU-KA-NA-SI,1,1,IOUKTAS,0,,STONE VESSEL,,,,0,
U-NA-RU-KA,2,NA-TI,U-NA-RU-KA-NA-TI,1,1,PALAIKASTRO,0,,STONE VESSEL,,,,0,
U-TA,2,I-SE,U-TA-I-SE,1,1,KHANIA,1,KH SCRIBE 2,TABLET,,,,0,
WA-DU,2,NI-MI,WA-DU-NI-MI,2,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,0,
WA-PI-TI,2,NA-RA2,WA-PI-TI-NA-RA2,1,1,PHAISTOS,0,,CLAY VESSEL,,,,0,
WA-TU,2,MA-RE,WA-TU-MA-RE,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,0,
WI-JA-SU-MA,2,TI-TI,WI-JA-SU-MA-TI-TI,1,1,HAGHIA TRIADA,0,,GRAFFITO,,,,0,
WI-RA-RE,2,MI-TE,WI-RA-RE-MI-TE,1,1,ZAKROS,0,,TABLET,,,,0,
WI-SA,2,SA-NE,WI-SA-SA-NE,1,1,KHANIA,1,KH SCRIBE 2,TABLET,,,,0,
WI-TE,2,JA-MU,WI-TE-JA-MU,1,1,PLATANOS,0,,METAL OBJECT,,,,0,
ZU-*301-SE-DE,2,*21F-*118,ZU-*301-SE-DE-*21F-*118,1,1,ARKHALKHORI,1,ARKH SCRIBE 1,TABLET,,,,0,
ZU-RI,2,NI-MA,ZU-RI-NI-MA,1,1,KNOSSOS,0,,CLAY VESSEL,,,,0,
