commentary_id,form,exclude_count,boundary_insecure_count,continuation_fragment_count,complex_logogram_count,cross_script_count,source_override_count,reason_classes,evidence_text
HT25,TU-QE-NU,1,1,0,0,0,0,physical_boundary,A-RI-NI-TA 1 A.3 TU-QE-NU[ A.4 ] ZU-JU-PU 2
HT25,ZU-JU-PU,1,1,0,0,0,0,physical_boundary,3 TU-QE-NU[ A.4 ] ZU-JU-PU 2 1 A.4 DU-RU-WI[
HT26,*406V-AS-KE,1,0,0,1,0,0,complex_logogram,• *406VAS+KE {*656} • VIR
HT26,KI-ME,1,0,0,1,0,0,complex_logogram,KI+ME {*545}
HT26,RO-NI,1,1,0,0,0,0,physical_boundary,56} • VIR 9 B.2 ]-RO-NI 3 B.2-3 KA-U-ZU-N
HT26,VAS-KE,1,0,0,1,0,0,complex_logogram,406VAS+KE {*656} •
HT27,I-MI-SA-RA,1,1,0,0,0,0,physical_boundary,51 A.2 RE 20 A.3 ]I-MI-SA-RA 4 3 A.4 ]QE 21 A.
HT27,KI-*310,1,1,0,0,0,0,physical_boundary,.4 KI-DA-[ A.4-5 ]KI-*310 • KU-* 305 [ A.5
HT27,KI-DA,1,1,0,0,0,0,physical_boundary,3 A.4 ]QE 21 A.4 KI-DA-[ A.4-5 ]KI-*310
HT27,SA-RA-DI,1,1,0,0,0,0,physical_boundary,• KU-* 305 [ A.5 ]SA-RA-DI 5 A.6 VIR 42 A.7
HT28,GRA-QE-*578,1,0,0,1,0,0,complex_logogram,GRA+QE {*578)
HT28,OLE-DI,5,0,0,5,0,0,complex_logogram,OLE+DI {*608} || OLE +DI
HT28,OLE-KI,1,0,0,1,0,0,complex_logogram,OLE+KI {*618}
HT28,OLE-MI,1,0,0,1,0,0,complex_logogram,OLE+MI {*622}
HT28,OLE-TU,1,0,0,1,0,0,complex_logogram,OLE + TU {*621}
HT28,OLE-U,1,0,0,1,0,0,complex_logogram,OLE+U {*610}
HT28,VIR-KA-VINA,1,0,0,1,0,0,complex_logogram,VIR+KA {*568} VINA
HT29,DI-JA-I,1,1,0,0,0,0,physical_boundary,PA-JA-RE 2 [ .3 ]DI-JA-I 2 .4 SA-* 323-MI
HT29,KI-TA,1,1,0,0,0,0,physical_boundary,323-MI 1 .4-5 [•]-KI-TA 2 .5 A-RE-DA-I 2
HT3,DI-NA,1,1,0,0,0,0,physical_boundary,.1 ] MA-DI 2 .1 ] DI-NA-[ .2 QE-RA 2-JA[
