side,rank,sign,score,boundary_count,internal_count,boundary_enrichment_log2,exact_extension_pairs,pair_sites,pair_scribes,pair_attestations,examples
suffix,77,KU,0.334547,13,33,-1.367291,1,4,3,8,DA-RE ~ DA-RE-KU
suffix,78,*21F,0.234886,4,5,-0.345596,0,0,0,0,
suffix,79,WA,0.217731,9,23,-1.362751,1,2,0,2,I-NA ~ I-NA-WA
suffix,80,*309,-0.056090,0,0,-0.056090,0,0,0,0,
suffix,81,*309B,-0.056090,0,0,-0.056090,0,0,0,0,
suffix,82,*309C,-0.056090,0,0,-0.056090,0,0,0,0,
suffix,83,*318,-0.056090,0,0,-0.056090,0,0,0,0,
suffix,84,*322,-0.056090,0,0,-0.056090,0,0,0,0,
suffix,85,*324,-0.056090,0,0,-0.056090,0,0,0,0,
suffix,86,*327,-0.056090,0,0,-0.056090,0,0,0,0,
suffix,87,*328,-0.056090,0,0,-0.056090,0,0,0,0,
suffix,88,*333,-0.056090,0,0,-0.056090,0,0,0,0,
suffix,89,*352,-0.056090,0,0,-0.056090,0,0,0,0,
suffix,90,*355,-0.056090,0,0,-0.056090,0,0,0,0,
suffix,91,*358,-0.056090,0,0,-0.056090,0,0,0,0,
suffix,92,*539,-0.056090,0,0,-0.056090,0,0,0,0,
suffix,93,*554,-0.056090,0,0,-0.056090,0,0,0,0,
suffix,94,*560,-0.056090,0,0,-0.056090,0,0,0,0,
suffix,95,*810,-0.056090,0,0,-0.056090,0,0,0,0,
suffix,96,*815,-0.056090,0,0,-0.056090,0,0,0,0,
suffix,97,*903,-0.056090,0,0,-0.056090,0,0,0,0,
suffix,98,*905,-0.056090,0,0,-0.056090,0,0,0,0,
suffix,99,TO,-0.553610,4,9,-1.134092,0,0,0,0,
suffix,100,*301,-0.667999,8,22,-1.460480,0,0,0,0,
suffix,101,*314,-1.028482,1,3,-1.278482,0,0,0,0,
suffix,102,PO,-1.028482,1,3,-1.278482,0,0,0,0,
suffix,103,KO,-1.038361,2,6,-1.434601,0,0,0,0,
suffix,104,*310,-1.244811,2,7,-1.641052,0,0,0,0,
suffix,105,*325,-1.391052,1,4,-1.641052,0,0,0,0,
